player_id,team_name,sold_price
7MW4,Avengers,65
8HD9,Avengers,205
8e5y,Avengers,45
3WRK,Avengers,35
5RH4,Avengers,35
7J9A,Avengers,350
4KQQ,Avengers,190
CNC8,Avengers,55
JJH6,Fearless Falcons,45
3WN4,Fearless Falcons,65
5L1C,Fearless Falcons,55
248V,Fearless Falcons,125
4x97,Fearless Falcons,320
4WTI,Fearless Falcons,170
8KA4,Fearless Falcons,40
5DVA,Fearless Falcons,100
9TXV,Fearless Falcons,80
8LQL,Hits & Misses,35
6JPT,Hits & Misses,35
836I,Hits & Misses,55
JPL9,Hits & Misses,35
8J9Q,Hits & Misses,260
QTC9,Hits & Misses,350
81KV,Hits & Misses,60
5E6D,Hits & Misses,80
JKJ8,Hits & Misses,85
84MR,Mavericks,45
131X,Mavericks,65
7ttv,Mavericks,35
54RP,Mavericks,295
PVH5,Mavericks,70
4TDM,Mavericks,210
QDK7,Mavericks,75
83RB,Mavericks,80
92XX,Mavericks,95
64PC,Quality Strikers,265
92yp,Quality Strikers,35
9T0M,Quality Strikers,75
4TFK,Quality Strikers,350
8XXV,Quality Strikers,85
9V5H,Quality Strikers,45
CRL6,Quality Strikers,50
399x,Quality Strikers,35
7K6X,Pirates,65
7VRC,Pirates,105
54ME,Pirates,225
7BWR,Pirates,135
7M62,Pirates,35
8B46,Pirates,350
8XXP,Pirates,40
4YVM,Pirates,35
7J4N,CSK,35
1p0t,CSK,245
5YLB,CSK,35
9K4V,CSK,35
54TT,CSK,210
Tww2,CSK,160
8F4M,CSK,160
PVF0,CSK,85
6RMK,Digititans,40
71hl,Digititans,275
9BTD,Digititans,40
5WR8,Digititans,85
6FXM,Digititans,240
7V94,Digititans,45
7CFH,Digititans,85
8MTK,Digititans,155
5CF2,Digititans,35
